Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,registration_year,owner_type,car_condition,insurance_status,accident_history,city
38,Hyundai Santro,Hyundai,Santro,12,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,125000,2014,First Owner,Excellent,Active,No,Kolkata
39,Mahindra XUV500,Mahindra,XUV500,9,185000,Individual,Diesel,Manual,15.1,2179,140.0,7,600000,2017,First Owner,Excellent,Active,Yes,Mumbai
40,Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5,380000,2018,First Owner,Good,Active,No,Kolkata
44,Hyundai i20,Hyundai,i20,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000,2023,Second Owner,Good,Active,No,Ahmedabad
45,Hyundai i20,Hyundai,i20,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000,2023,Second Owner,Good,Active,Yes,Kolkata
46,Honda City,Honda,City,6,31180,Dealer,Petrol,Automatic,18.0,1497,117.3,5,700000,2020,First Owner,Excellent,Active,No,Ahmedabad
50,Maruti Swift Dzire,Maruti,Swift Dzire,7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5,410000,2019,First Owner,Excellent,Active,No,Delhi
53,Maruti Baleno,Maruti,Baleno,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000,2021,Third Owner,Good,Active,No,Kolkata
54,Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,Diesel,Manual,21.0,1498,74.96,7,850000,2025,Third Owner,Good,Expired,No,Pune
56,Mahindra KUV100,Mahindra,KUV100,3,17000,Individual,Petrol,Manual,18.15,1198,82.0,5,550000,2023,First Owner,Good,Active,Yes,Kolkata
58,Maruti Baleno,Maruti,Baleno,5,22000,Dealer,Petrol,Manual,15.4,1590,94.0,5,625000,2021,First Owner,Good,Active,No,Jaipur
59,Maruti Swift Dzire,Maruti,Swift Dzire,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000,2021,Fourth+ Owner,Excellent,Active,No,Jaipur
60,Maruti Wagon R,Maruti,Wagon R,2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,445000,2024,First Owner,Good,Active,Yes,Mumbai
61,Maruti Ignis,Maruti,Ignis,2,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,530000,2024,Second Owner,Good,Active,No,Ahmedabad
63,Maruti Wagon R,Maruti,Wagon R,3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,410000,2023,First Owner,Good,Active,No,Chennai
64,Datsun RediGO,Datsun,RediGO,3,27263,Individual,Petrol,Manual,22.5,999,68.0,5,350000,2023,First Owner,Excellent,Expired,No,Bangalore
66,Hyundai Verna,Hyundai,Verna,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000,2019,First Owner,Good,Expired,No,Hyderabad
67,Hyundai i20,Hyundai,i20,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000,2021,Third Owner,Fair,Active,No,Chennai
68,Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,Individual,Diesel,Manual,26.59,1248,74.0,5,560000,2022,First Owner,Good,Active,Yes,Jaipur
71,Hyundai i20,Hyundai,i20,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000,2024,First Owner,Good,Active,No,Jaipur
72,Hyundai Santro,Hyundai,Santro,14,56000,Dealer,Petrol,Manual,17.8,1086,63.0,5,125000,2012,Second Owner,Poor,Active,Yes,Pune
75,Hyundai i20,Hyundai,i20,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000,2023,First Owner,Excellent,Active,No,Ahmedabad
76,Mahindra Scorpio,Mahindra,Scorpio,4,50000,Individual,Diesel,Manual,15.4,1997,120.0,7,1150000,2022,First Owner,Good,Active,No,Pune
77,Volkswagen Vento,Volkswagen,Vento,9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,500000,2017,First Owner,Good,Active,No,Lucknow
78,Mahindra Marazzo,Mahindra,Marazzo,2,36000,Individual,Diesel,Manual,17.3,1497,121.0,7,990000,2024,First Owner,Fair,Active,No,Bangalore
79,Hyundai Verna,Hyundai,Verna,8,47876,Dealer,Diesel,Manual,25.0,1493,113.42,5,551000,2018,First Owner,Good,Expired,No,Chennai
80,Mahindra XUV500,Mahindra,XUV500,3,21500,Individual,Diesel,Automatic,15.1,2179,152.87,7,1650000,2023,Second Owner,Fair,Expired,Yes,Chennai
81,Hyundai Grand,Hyundai,Grand,6,75000,Dealer,Diesel,Manual,24.0,1120,70.0,5,350000,2020,First Owner,Excellent,Active,No,Mumbai
82,Ford Aspire,Ford,Aspire,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000,2022,First Owner,Good,Active,Yes,Delhi
83,Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000,2023,Second Owner,Good,Expired,No,Lucknow
84,Hyundai Grand,Hyundai,Grand,3,50000,Individual,Diesel,Manual,24.0,1186,73.97,5,545000,2023,First Owner,Excellent,Active,No,Bangalore
85,Ford Figo,Ford,Figo,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000,2022,Third Owner,Good,Active,No,Kolkata
86,Honda Amaze,Honda,Amaze,7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,400000,2019,Second Owner,Good,Active,No,Pune
87,Maruti Wagon R,Maruti,Wagon R,15,37000,Dealer,Petrol,Manual,14.0,1061,64.0,5,155000,2011,First Owner,Good,Expired,No,Ahmedabad
89,Maruti Swift Dzire,Maruti,Swift Dzire,5,47000,Dealer,Diesel,Manual,26.59,1248,74.0,5,545000,2021,First Owner,Excellent,Expired,No,Kolkata
90,Honda City,Honda,City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000,2018,First Owner,Excellent,Expired,No,Bangalore
91,Renault KWID,Renault,KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000,2021,First Owner,Good,Active,No,Kolkata
92,Maruti Vitara,Maruti,Vitara,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000,2023,Fourth+ Owner,Excellent,Active,No,Kolkata
93,Ford Aspire,Ford,Aspire,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000,2022,First Owner,Excellent,Active,No,Bangalore
94,Hyundai i20,Hyundai,i20,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000,2018,Second Owner,Good,Active,No,Lucknow
95,Maruti Swift,Maruti,Swift,10,160000,Individual,Diesel,Manual,17.8,1248,75.0,5,225000,2016,Second Owner,Good,Active,No,Bangalore
96,Tata Tiago,Tata,Tiago,4,32100,Individual,Petrol,Manual,23.84,1199,84.0,5,400000,2022,Third Owner,Good,Expired,No,Pune
97,Hyundai i20,Hyundai,i20,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000,2021,First Owner,Excellent,Expired,No,Jaipur
98,Mahindra Scorpio,Mahindra,Scorpio,5,44000,Dealer,Diesel,Manual,15.4,2179,120.0,7,1050000,2021,First Owner,Excellent,Active,No,Bangalore
99,Volkswagen Polo,Volkswagen,Polo,5,78000,Dealer,Petrol,Manual,18.78,1198,74.0,5,450000,2021,First Owner,Good,Active,No,Chennai
100,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,74352,Dealer,Petrol,Automatic,11.74,1796,186.0,5,775000,2017,Second Owner,Excellent,Active,No,Ahmedabad
101,Maruti Wagon R,Maruti,Wagon R,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000,2019,Second Owner,Good,Active,Yes,Delhi
102,Honda City,Honda,City,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000,2019,First Owner,Good,Expired,No,Chennai
103,Kia Seltos,Kia,Seltos,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000,2024,First Owner,Good,Expired,Yes,Kolkata
104,Maruti Baleno,Maruti,Baleno,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000,2021,First Owner,Good,Active,No,Kolkata
105,Toyota Innova,Toyota,Innova,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000,2021,Fourth+ Owner,Excellent,Active,No,Jaipur
106,Maruti Alto,Maruti,Alto,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000,2018,First Owner,Excellent,Expired,Yes,Lucknow
107,Hyundai i20,Hyundai,i20,10,160000,Individual,Diesel,Manual,21.9,1396,90.0,5,270000,2016,First Owner,Good,Expired,No,Kolkata
109,Ford Figo,Ford,Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,130000,2016,First Owner,Good,Expired,No,Delhi
110,Maruti Swift Dzire,Maruti,Swift Dzire,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000,2017,First Owner,Good,Active,No,Bangalore
111,Maruti Baleno,Maruti,Baleno,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000,2022,First Owner,Fair,Active,No,Kolkata
113,Volkswagen Polo,Volkswagen,Polo,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000,2018,First Owner,Excellent,Active,No,Ahmedabad
114,Hyundai i20,Hyundai,i20,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000,2017,Second Owner,Excellent,Active,Yes,Pune
115,Hyundai Verna,Hyundai,Verna,3,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,2023,First Owner,Good,Active,Yes,Jaipur
116,Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000,2021,First Owner,Good,Active,No,Jaipur
117,Maruti Celerio,Maruti,Celerio,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000,2023,First Owner,Excellent,Active,No,Ahmedabad
118,Ford Ecosport,Ford,Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000,2022,First Owner,Fair,Active,Yes,Chennai
119,Hyundai Verna,Hyundai,Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000,2017,First Owner,Good,Active,No,Mumbai
120,Renault KWID,Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,330000,2023,First Owner,Good,Active,No,Hyderabad
121,Maruti Baleno,Maruti,Baleno,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000,2023,Second Owner,Good,Active,No,Pune
122,Maruti Wagon R,Maruti,Wagon R,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000,2021,Third Owner,Good,Active,No,Jaipur
123,Maruti Swift Dzire,Maruti,Swift Dzire,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000,2023,First Owner,Excellent,Active,No,Bangalore
124,Hyundai Venue,Hyundai,Venue,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000,2024,Second Owner,Good,Expired,No,Kolkata
126,Hyundai Verna,Hyundai,Verna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000,2020,First Owner,Good,Active,No,Lucknow
127,Maruti Swift,Maruti,Swift,7,28000,Dealer,Petrol,Manual,16.1,1197,85.0,5,435000,2019,Second Owner,Excellent,Active,No,Lucknow
128,Hyundai i20,Hyundai,i20,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000,2018,First Owner,Excellent,Active,No,Hyderabad
130,Hyundai Verna,Hyundai,Verna,2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,2024,Fourth+ Owner,Good,Active,No,Mumbai
132,Maruti Wagon R,Maruti,Wagon R,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000,2014,Second Owner,Good,Active,No,Delhi
133,Maruti Swift,Maruti,Swift,6,58000,Dealer,Diesel,Manual,25.2,1248,74.0,5,415000,2020,First Owner,Fair,Active,Yes,Pune
134,Maruti Alto,Maruti,Alto,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000,2016,First Owner,Good,Active,Yes,Pune
135,Mahindra Scorpio,Mahindra,Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000,2021,First Owner,Good,Active,No,Kolkata
136,Hyundai i10,Hyundai,i10,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000,2019,Second Owner,Excellent,Active,No,Pune
137,Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000,2020,Fourth+ Owner,Excellent,Active,No,Jaipur
138,Mahindra Scorpio,Mahindra,Scorpio,4,30000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1125000,2022,First Owner,Fair,Active,Yes,Jaipur
139,BMW 5,BMW,5,5,63000,Dealer,Diesel,Automatic,18.59,2993,261.49,5,2600000,2021,Fourth+ Owner,Good,Active,No,Mumbai
141,Datsun GO,Datsun,GO,3,10000,Individual,Petrol,Manual,20.62,1198,67.0,7,480000,2023,Second Owner,Good,Active,No,Chennai
142,Maruti Swift Dzire,Maruti,Swift Dzire,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000,2022,First Owner,Excellent,Active,No,Mumbai
143,Hyundai Creta,Hyundai,Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000,2022,First Owner,Good,Active,No,Pune
144,Maruti Swift,Maruti,Swift,3,35000,Dealer,Petrol,Manual,22.0,1197,81.8,5,575000,2023,First Owner,Good,Active,No,Jaipur
145,Maruti Swift Dzire,Maruti,Swift Dzire,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000,2017,First Owner,Fair,Active,No,Mumbai
147,Ford Ecosport,Ford,Ecosport,3,55000,Individual,Diesel,Manual,23.0,1498,98.96,5,925000,2023,First Owner,Excellent,Active,No,Delhi
148,Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,400000,2020,First Owner,Excellent,Active,No,Lucknow
150,Honda City,Honda,City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000,2021,Second Owner,Excellent,Active,No,Jaipur
151,Maruti Swift Dzire,Maruti,Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,600000,2019,Second Owner,Good,Expired,No,Chennai
152,Mahindra Scorpio,Mahindra,Scorpio,8,95000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,2018,First Owner,Good,Active,No,Ahmedabad
153,Ford Aspire,Ford,Aspire,4,36000,Dealer,Diesel,Manual,25.83,1498,99.0,5,585000,2022,First Owner,Good,Active,No,Kolkata
154,Maruti Wagon R,Maruti,Wagon R,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000,2024,First Owner,Excellent,Active,No,Hyderabad
155,Maruti Swift Dzire,Maruti,Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000,2020,First Owner,Excellent,Active,Yes,Hyderabad
156,Honda CR-V,Honda,CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000,2020,First Owner,Fair,Active,No,Kolkata
157,Volkswagen Polo,Volkswagen,Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000,2020,Third Owner,Good,Active,No,Delhi
158,Hyundai Grand,Hyundai,Grand,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000,2024,Third Owner,Good,Active,No,Lucknow
161,Honda City,Honda,City,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000,2021,Second Owner,Good,Expired,No,Hyderabad
164,Ford Endeavour,Ford,Endeavour,3,11387,Individual,Diesel,Automatic,10.91,3198,197.0,7,2900000,2023,First Owner,Excellent,Active,No,Kolkata
165,Honda Amaze,Honda,Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000,2023,First Owner,Excellent,Active,Yes,Hyderabad
166,Mahindra KUV,Mahindra,KUV,5,52000,Dealer,Diesel,Manual,25.32,1198,77.0,5,375000,2021,First Owner,Excellent,Active,No,Delhi
168,Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,400000,2020,First Owner,Excellent,Expired,No,Lucknow
169,Renault Duster,Renault,Duster,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000,2020,Second Owner,Excellent,Active,No,Jaipur
170,Honda Jazz,Honda,Jazz,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000,2023,Second Owner,Good,Active,No,Ahmedabad
171,Maruti Wagon R,Maruti,Wagon R,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000,2017,First Owner,Good,Active,No,Delhi
172,Hyundai i20,Hyundai,i20,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000,2020,Second Owner,Good,Active,Yes,Kolkata
173,Hyundai Verna,Hyundai,Verna,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000,2020,First Owner,Good,Active,No,Bangalore
176,Maruti Swift,Maruti,Swift,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000,2023,Third Owner,Good,Active,No,Chennai
178,BMW 3,BMW,3,5,68000,Dealer,Diesel,Automatic,22.69,1995,190.0,5,2090000,2021,First Owner,Excellent,Active,Yes,Ahmedabad
180,Kia Seltos,Kia,Seltos,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000,2025,Second Owner,Good,Active,No,Ahmedabad
182,Maruti Swift,Maruti,Swift,6,65000,Dealer,Diesel,Manual,28.4,1248,74.0,5,495000,2020,First Owner,Good,Active,No,Pune
186,Hyundai Grand,Hyundai,Grand,5,25000,Individual,Petrol,Manual,18.9,1197,82.0,5,475000,2021,First Owner,Good,Active,No,Kolkata
189,Maruti Ciaz,Maruti,Ciaz,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000,2020,Second Owner,Good,Expired,No,Delhi
190,Tata Tiago,Tata,Tiago,5,9500,Individual,Petrol,Manual,23.84,1199,84.0,5,530000,2021,Third Owner,Excellent,Active,No,Hyderabad
191,Hyundai Verna,Hyundai,Verna,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000,2020,First Owner,Good,Active,No,Kolkata
193,Honda City,Honda,City,11,86000,Dealer,Petrol,Manual,17.0,1497,118.0,5,335000,2015,First Owner,Good,Active,No,Kolkata
195,Audi A4,Audi,A4,8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000,2018,First Owner,Good,Active,No,Delhi
196,Ford Figo,Ford,Figo,10,60000,Individual,Diesel,Manual,20.0,1399,68.0,5,300000,2016,Second Owner,Excellent,Active,No,Jaipur
197,Maruti Wagon R,Maruti,Wagon R,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000,2024,First Owner,Good,Active,Yes,Jaipur
198,Maruti Swift Dzire,Maruti,Swift Dzire,8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74.0,5,390000,2018,Second Owner,Good,Active,No,Jaipur
199,Mahindra Bolero,Mahindra,Bolero,13,220000,Individual,Diesel,Manual,13.6,2523,63.0,7,260000,2013,First Owner,Good,Active,No,Lucknow
200,Tata Tigor,Tata,Tigor,4,58000,Dealer,Diesel,Manual,24.7,1047,69.0,5,395000,2022,First Owner,Excellent,Active,No,Hyderabad
201,Mahindra Scorpio,Mahindra,Scorpio,9,170000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,2017,First Owner,Good,Expired,No,Mumbai
202,Maruti Swift Dzire,Maruti,Swift Dzire,3,15000,Individual,Petrol,Manual,22.0,1197,81.8,5,650000,2023,First Owner,Fair,Active,No,Chennai
203,Maruti Swift,Maruti,Swift,5,71245,Dealer,Diesel,Manual,28.4,1248,74.0,5,375000,2021,First Owner,Fair,Active,No,Jaipur
207,Kia Seltos,Kia,Seltos,2,7000,Individual,Petrol,Manual,16.1,1353,138.0,5,1300000,2024,Second Owner,Good,Active,No,Chennai
208,Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000,2023,Second Owner,Fair,Active,No,Pune
209,Maruti Celerio,Maruti,Celerio,1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,505000,2025,First Owner,Good,Expired,Yes,Jaipur
210,Maruti Alto,Maruti,Alto,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000,2024,First Owner,Excellent,Active,No,Mumbai
211,Hyundai i20,Hyundai,i20,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000,2020,Second Owner,Excellent,Expired,No,Chennai
214,Mahindra Bolero,Mahindra,Bolero,15,120000,Individual,Diesel,Manual,13.6,2523,63.0,7,150000,2011,Third Owner,Poor,Active,No,Hyderabad
215,Maruti Baleno,Maruti,Baleno,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000,2023,Second Owner,Excellent,Active,No,Jaipur
216,Maruti Wagon R,Maruti,Wagon R,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000,2016,First Owner,Good,Expired,No,Delhi
217,Hyundai Verna,Hyundai,Verna,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000,2022,Third Owner,Fair,Active,No,Kolkata
220,Maruti Ertiga,Maruti,Ertiga,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000,2023,First Owner,Good,Expired,No,Ahmedabad
221,Ford Ecosport,Ford,Ecosport,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000,2020,First Owner,Excellent,Active,No,Hyderabad
222,Ford Ecosport,Ford,Ecosport,3,7500,Individual,Diesel,Manual,23.0,1498,98.96,5,890000,2023,Third Owner,Good,Active,No,Mumbai
223,Tata Safari,Tata,Safari,5,47227,Dealer,Diesel,Manual,14.0,2179,138.1,7,775000,2021,Second Owner,Good,Active,No,Lucknow
224,Maruti Wagon R,Maruti,Wagon R,3,52000,Dealer,CNG,Manual,33.54,998,67.04,5,435000,2023,First Owner,Good,Active,No,Jaipur
225,Ford Figo,Ford,Figo,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,185000,2017,Third Owner,Poor,Active,No,Mumbai
226,Mahindra Bolero,Mahindra,Bolero,10,47000,Dealer,Diesel,Manual,15.96,2523,62.1,7,440000,2016,First Owner,Excellent,Expired,No,Ahmedabad
227,Hyundai i20,Hyundai,i20,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000,2020,First Owner,Good,Active,No,Ahmedabad
228,Maruti Baleno,Maruti,Baleno,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000,2022,First Owner,Excellent,Active,No,Mumbai
